filename	sample_id	sample_type
20240307_EB_dbgi_001195_01_01.mzML	dbgi_001195_01_01	sample
20240307_EB_dbgi_001199_01_01.mzML	dbgi_001199_01_01	sample
20240307_EB_dbgi_001213_01_01.mzML	dbgi_001213_01_01	sample
20240307_EB_dbgi_001215_01_01.mzML	dbgi_001215_01_01	sample
20240307_EB_dbgi_001764_01_01.mzML	dbgi_001764_01_01	sample
20240307_EB_dbgi_001773_01_01.mzML	dbgi_001773_01_01	sample
20240307_EB_dbgi_001774_01_01.mzML	dbgi_001774_01_01	sample
20240307_EB_dbgi_001777_01_01.mzML	dbgi_001777_01_01	sample
20240307_EB_dbgi_001781_01_01.mzML	dbgi_001781_01_01	sample
20240307_EB_dbgi_001788_01_01.mzML	dbgi_001788_01_01	sample
20240307_EB_dbgi_001799_01_01.mzML	dbgi_001799_01_01	sample
20240307_EB_dbgi_001804_01_01.mzML	dbgi_001804_01_01	sample
20240307_EB_dbgi_001805_01_01.mzML	dbgi_001805_01_01	sample
20240307_EB_dbgi_001809_01_01.mzML	dbgi_001809_01_01	sample
20240307_EB_dbgi_001823_01_01.mzML	dbgi_001823_01_01	sample
20240307_EB_dbgi_001827_01_01.mzML	dbgi_001827_01_01	sample
20240307_EB_dbgi_001828_01_01.mzML	dbgi_001828_01_01	sample
20240307_EB_dbgi_001836_01_01.mzML	dbgi_001836_01_01	sample
20240307_EB_dbgi_001837_01_01.mzML	dbgi_001837_01_01	sample
20240307_EB_dbgi_001838_01_01.mzML	dbgi_001838_01_01	sample
20240307_EB_dbgi_001841_01_01.mzML	dbgi_001841_01_01	sample
20240307_EB_dbgi_001848_01_01.mzML	dbgi_001848_01_01	sample
20240307_EB_dbgi_001857_01_01.mzML	dbgi_001857_01_01	sample
20240307_EB_dbgi_001858_01_01.mzML	dbgi_001858_01_01	sample
20240307_EB_dbgi_001859_01_01.mzML	dbgi_001859_01_01	sample
20240307_EB_dbgi_001860_01_01.mzML	dbgi_001860_01_01	sample
20240307_EB_dbgi_001861_01_01.mzML	dbgi_001861_01_01	sample
20240307_EB_dbgi_001862_01_01.mzML	dbgi_001862_01_01	sample
20240307_EB_dbgi_001863_01_01.mzML	dbgi_001863_01_01	sample
20240307_EB_dbgi_001867_01_01.mzML	dbgi_001867_01_01	sample
20240307_EB_dbgi_001869_01_01.mzML	dbgi_001869_01_01	sample
20240307_EB_dbgi_001870_01_01.mzML	dbgi_001870_01_01	sample
20240307_EB_dbgi_001873_01_01.mzML	dbgi_001873_01_01	sample
20240307_EB_dbgi_001875_01_01.mzML	dbgi_001875_01_01	sample
20240307_EB_dbgi_001884_01_01.mzML	dbgi_001884_01_01	sample
20240307_EB_dbgi_001893_01_01.mzML	dbgi_001893_01_01	sample
20240307_EB_dbgi_001894_01_01.mzML	dbgi_001894_01_01	sample
20240307_EB_dbgi_001895_01_01.mzML	dbgi_001895_01_01	sample
