is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Acalypha hispida,ICN,1.0,acalypha hispida,[],False,False,Acalypha hispida,1015290,species,ott3.6draft1,"['Acalypha densiflora', 'Acalypha hispida sanderi', 'Acalypha sanderi', 'Acalypha sanderiana', 'Ricinocarpus hispidus']","['ncbi:197604', 'gbif:3056375', 'irmng:10606531']",Acalypha hispida
False,False,Acalypha wilkesiana,ICN,1.0,acalypha wilkesiana,[],False,False,Acalypha wilkesiana,211956,species,ott3.6draft1,"['Acalypha amentacea circinata', 'Acalypha amentacea subsp. wilkesiana', 'Acalypha amentacea wilkesiana', 'Acalypha chantrieri', 'Acalypha circinata', 'Acalypha compacta', 'Acalypha godseffiana', 'Acalypha godseffiana heterophylla', 'Acalypha hamiltoniana', 'Acalypha illustris publ', 'Acalypha macafeeana', 'Acalypha macrophylla', 'Acalypha marginata', 'Acalypha morfontanensis', 'Acalypha tricolor', 'Acalypha triumphans', 'Acalypha wilkesiana appendiculata', 'Acalypha wilkesiana circinata', 'Acalypha wilkesiana illustris', 'Acalypha wilkesiana macrophylla', 'Acalypha wilkesiana marginata', 'Acalypha wilkesiana monstrosa', 'Acalypha wilkesiana triumphans', 'Ricinocarpus wilkesianus']","['ncbi:217498', 'gbif:3057221']",Acalypha wilkesiana
False,False,Acanthus montanus,ICN,1.0,acanthus montanus,[],False,False,Acanthus montanus,828092,species,ott3.6draft1,"['Acanthus barteri', 'Acanthus caudatus', 'Cheilopsis montana']","['ncbi:13327', 'gbif:5573815']",Acanthus montanus
False,False,Acer cissifolium,ICN,1.0,acer cissifolium,[],False,False,Acer cissifolium,441203,species,ott3.6draft1,"['Crula cissifolia', 'Negundo cissifolium']","['ncbi:134796', 'gbif:7877018']",Acer cissifolium
False,False,Achillea clypeolata,ICN,1.0,achillea clypeolata,[],False,False,Achillea clypeolata,768350,species,ott3.6draft1,[],"['ncbi:282728', 'gbif:8360031']",Achillea clypeolata
False,False,Achillea filipendulina,ICN,1.0,achillea filipendulina,[],False,False,Achillea filipendulina,245238,species,ott3.6draft1,"['Achillea eupatorium', 'Achillea filicifolia', 'Tanacetum angulatum']","['ncbi:282736', 'gbif:3120284', 'irmng:10455374']",Achillea filipendulina
False,False,Achillea millefolium,ICN,1.0,achillea millefolium,[],False,False,Achillea millefolium,828103,species,ott3.6draft1,"['Achillea alpicola', 'Achillea angustissima', 'Achillea arenicola', 'Achillea aspleniifolia', 'Achillea bicolor', 'Achillea borealis', 'Achillea californica', 'Achillea ceretanica', 'Achillea crassifolia', 'Achillea dentifera', 'Achillea eradiata', 'Achillea fusca', 'Achillea gigantea', 'Achillea gracilis', 'Achillea lanulosa', 'Achillea lanulosa peroutkyi', 'Achillea lanulosa rubicunda', 'Achillea lanulosa typica', 'Achillea lanululosa rubicunda', 'Achillea laxiflora', 'Achillea millefolium caroli', 'Achillea millefolium foliosa', 'Achillea millefolium iserana', 'Achillea millefolium lamotteanum', 'Achillea millefolium lanata', 'Achillea millefolium lanuginosa', 'Achillea millefolium macrocephala', 'Achillea millefolium millefolium', 'Achillea millefolium occidentale', 'Achillea millefolium pedemontana', 'Achillea millefolium puberula', 'Achillea millefolium rosea', 'Achillea millefolium roseoides', 'Achillea millefolium rubicunda', 'Achillea millefolium sordida', 'Achillea millefolium strictifolia', 'Achillea nabalekii', 'Achillea nigrescens', 'Achillea occidentalis', 'Achillea ochroleuca ochroleuca', 'Achillea ossica', 'Achillea pacifica', 'Achillea palmeri', 'Achillea pecten-veneris', 'Achillea puberula', 'Achillea rosea', 'Achillea serpentini', 'Achillea setacea setacea', 'Achillea sordida', 'Achillea subalpina', 'Achillea tomentosa', 'Anthemis millefolium']","['ncbi:13329', 'gbif:3120060', 'irmng:10587559']",Achillea millefolium
False,False,Achillea ptarmica,ICN,1.0,achillea ptarmica,[],False,False,Achillea ptarmica,195131,species,ott3.6draft1,"['Achillea acuminata', 'Achillea ptarmica euptarmica', 'Achillea ptarmica ptarmica', 'Achillea ptarmica vulgaris']","['ncbi:133233', 'gbif:3120333', 'irmng:10197775']",Achillea ptarmica
False,False,Achimenes erecta,ICN,1.0,achimenes erecta,[],False,False,Achimenes erecta,85957,species,ott3.6draft1,"['Achimenes autumnalis', 'Achimenes coccinea', 'Achimenes coccinea intermedia', 'Achimenes coccinea pyropaea', 'Achimenes coccinea rosea', 'Achimenes coccinea superba', 'Achimenes pulchella', 'Achimenes pyropaea', 'Achimenes rosea', 'Achimenes rosea baumannii', 'Achimenes rosea formosa', 'Achimenes rosea pyropaea', 'Achimenes tenella', 'Buchnera coccinea', 'Columnea erecta', 'Columnea humilis', 'Gesneria acaulis', 'Gesneria tenella', 'Striga asiatica coccinea', 'Trevirana coccinea', 'Trevirana pulchella', 'Trevirana rosea', 'Trevirana tenella']","['ncbi:223878', 'gbif:5589891']",Achimenes erecta
False,False,Aconitum,ICN,1.0,aconitum,[],False,False,Aconitum,756111,genus,ott3.6draft1,[],"['ncbi:49188', 'gbif:3033663', 'irmng:1311957']",Aconitum
