ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,domain,infrakingdom,no rank,section,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superorder,tribe,domain_ott_id,infrakingdom_ott_id,no rank_ott_id,section_ott_id,subclass_ott_id,subfamily_ott_id,subgenus_ott_id,subkingdom_ott_id,suborder_ott_id,subphylum_ott_id,subtribe_ott_id,superorder_ott_id,tribe_ott_id,flags,rank,varietas,varietas_ott_id
564,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Scleranthus,Scleranthus annuus,Scleranthus annuus,5268475.0,916750.0,99252.0,216628.0,317818.0,333319.0,564.0,Eukaryota,,life,,,,,,,,,,Sclerantheae,304358.0,,805080.0,,,,,,,,,,5920014.0,[],species,,
1613,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia patens,Salvia patens,5268475.0,916750.0,99252.0,23736.0,544714.0,374096.0,1613.0,Eukaryota,,life,,,Nepetoideae,Calosphace,,,,,,Mentheae,304358.0,,805080.0,,,394658.0,5336047.0,,,,,,498490.0,['sibling_higher'],species,,
2472,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens,Apium graveolens,5268475.0,916750.0,99252.0,372834.0,372831.0,2470.0,2472.0,Eukaryota,,life,,,Apioideae,,,Apiineae,,,campanulids,Apieae,304358.0,,805080.0,,,79260.0,,,1091578.0,,,596121.0,823075.0,[],species,,
2485,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Petroselinum,Petroselinum crispum,Petroselinum crispum,5268475.0,916750.0,99252.0,372834.0,372831.0,2483.0,2485.0,Eukaryota,,life,,,Apioideae,,,Apiineae,,,campanulids,Apieae,304358.0,,805080.0,,,79260.0,,,1091578.0,,,596121.0,823075.0,[],species,,
5072,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pteris,,Pteris,5268475.0,916750.0,166292.0,93178.0,164361.0,5072.0,,Eukaryota,,life,,Polypodiidae,Pteridoideae,,,Pteridineae,,,,,304358.0,,805080.0,,5662210.0,7045651.0,,,7045634.0,,,,,[],genus,,
6801,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle verticillata,Hydrocotyle verticillata,5268475.0,916750.0,99252.0,372834.0,524079.0,2500.0,6801.0,Eukaryota,,life,,,,,,Apiineae,,,campanulids,,304358.0,,805080.0,,,,,,1091578.0,,,596121.0,,[],species,,
7333,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Pseudognaphalium,Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum,5268475.0,916750.0,99252.0,1042120.0,46248.0,19683.0,7333.0,Eukaryota,,life,,,Asteroideae,,,,,,campanulids,Gnaphalieae,304358.0,,805080.0,,,1084160.0,,,,,,596121.0,1084167.0,[],species,,
8870,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum,Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,5268475.0,916750.0,99252.0,216628.0,367508.0,21015.0,8870.0,Eukaryota,,life,,,,Cryophytum,,,,,,,304358.0,,805080.0,,,,5493942.0,,,,,,,[],species,,
10210,Archaeplastida,Tracheophyta,,,,,,Tracheophyta,5268475.0,10210.0,,,,,,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],phylum,,
15769,Archaeplastida,Streptophyta,Magnoliopsida,Gentianales,Apocynaceae,Amsonia,Amsonia orientalis,Amsonia orientalis,5268475.0,916750.0,99252.0,524062.0,524059.0,46127.0,15769.0,Eukaryota,,life,,,Rauvolfioideae,,,,,,,Amsonieae,304358.0,,805080.0,,,741503.0,,,,,,,5512569.0,[],species,,
19452,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Bunias,Bunias orientalis,Bunias orientalis,5268475.0,916750.0,99252.0,8844.0,309271.0,19450.0,19452.0,Eukaryota,,life,,,,,,,,,,Buniadeae,304358.0,,805080.0,,,,,,,,,,793059.0,[],species,,
19803,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Aubrieta,Aubrieta deltoidea,Aubrieta deltoidea,5268475.0,916750.0,99252.0,8844.0,309271.0,19813.0,19803.0,Eukaryota,,life,,,,,,,,,,Arabideae,304358.0,,805080.0,,,,,,,,,,863078.0,[],species,,
22343,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus hypochondriacus,Amaranthus hypochondriacus,5268475.0,916750.0,99252.0,216628.0,317791.0,317808.0,22343.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
22373,Archaeplastida,Streptophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,Heliotropium arborescens,Heliotropium arborescens,5268475.0,916750.0,99252.0,5261925.0,5728206.0,885838.0,22373.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
23103,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Gypsophila,Gypsophila fastigiata,Gypsophila fastigiata,5268475.0,916750.0,99252.0,216628.0,317818.0,28652.0,23103.0,Eukaryota,,life,,,,,,,,,,Caryophylleae,304358.0,,805080.0,,,,,,,,,,5920005.0,['sibling_higher'],species,,
25036,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Echinops,Echinops sphaerocephalus,Echinops sphaerocephalus,5268475.0,916750.0,99252.0,1042120.0,46248.0,511898.0,25036.0,Eukaryota,,life,,,Carduoideae,,,,,Echinopsinae,campanulids,Cardueae,304358.0,,805080.0,,,527107.0,,,,,54957.0,596121.0,557760.0,[],species,,
27257,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Globularia,Globularia nudicaulis,Globularia nudicaulis,5268475.0,916750.0,99252.0,23736.0,1041309.0,628260.0,27257.0,Eukaryota,,life,,,,,,,,,,Globularieae,304358.0,,805080.0,,,,,,,,,,182047.0,[],species,,
28822,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Microgramma,Microgramma vacciniifolia,Microgramma vacciniifolia,5268475.0,916750.0,166292.0,93178.0,667483.0,145196.0,28822.0,Eukaryota,,life,,Polypodiidae,Polypodioideae,,,Polypodiineae,,,,,304358.0,,805080.0,,5662210.0,7045578.0,,,680697.0,,,,,[],species,,
29109,Archaeplastida,Streptophyta,Magnoliopsida,Gentianales,Apocynaceae,Vinca,Vinca major,Vinca major,5268475.0,916750.0,99252.0,524062.0,524059.0,142099.0,29109.0,Eukaryota,,life,,,Rauvolfioideae,,,,,Vincinae,,Vinceae,304358.0,,805080.0,,,741503.0,,,,,5518236.0,,99127.0,[],species,,
29276,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia imbricata,Cylindropuntia imbricata,5268475.0,916750.0,99252.0,216628.0,584111.0,29267.0,29276.0,Eukaryota,,life,,,Opuntioideae,,,Cactineae,,,,,304358.0,,805080.0,,,227061.0,,,33109.0,,,,,[],species,,
35500,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Bassia,Bassia scoparia,Bassia scoparia,5268475.0,916750.0,99252.0,216628.0,5920024.0,214363.0,35500.0,Eukaryota,,life,,,Camphorosmoideae,,,,,,,Camphorosmeae,304358.0,,805080.0,,,4724279.0,,,,,,,4724280.0,[],species,,
35527,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,Aeschynanthus longicaulis,Aeschynanthus longicaulis,5268475.0,916750.0,99252.0,23736.0,913162.0,711765.0,35527.0,Eukaryota,,life,,,Didymocarpoideae,,,,,Didymocarpinae,,Trichosporeae,304358.0,,805080.0,,,708506.0,,,,,5522092.0,,649722.0,[],species,,
35629,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum thapsus,Verbascum thapsus,5268475.0,916750.0,99252.0,23736.0,23713.0,264474.0,35629.0,Eukaryota,,life,,,,,,,,,,Scrophularieae,304358.0,,805080.0,,,,,,,,,,846872.0,[],species,,
35910,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Barbarea,Barbarea vulgaris,Barbarea vulgaris,5268475.0,916750.0,99252.0,8844.0,309271.0,35918.0,35910.0,Eukaryota,,life,,,,,,,,,,Cardamineae,304358.0,,805080.0,,,,,,,,,,560483.0,[],species,,
35933,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis alpina,Arabis alpina,5268475.0,916750.0,99252.0,8844.0,309271.0,35937.0,35933.0,Eukaryota,,life,,,,,,,,,,Arabideae,304358.0,,805080.0,,,,,,,,,,863078.0,[],species,,
37464,Archaeplastida,Streptophyta,Magnoliopsida,Alismatales,Araceae,Syngonium,Syngonium auritum,Syngonium auritum,5268475.0,916750.0,99252.0,399481.0,481972.0,37474.0,37464.0,Eukaryota,,life,,,Aroideae,,,,,,,Caladieae,304358.0,,805080.0,,,1085574.0,,,,,,,316048.0,[],species,,
37792,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Nepenthaceae,Nepenthes,Nepenthes maxima,Nepenthes maxima,5268475.0,916750.0,99252.0,216628.0,587621.0,587622.0,37792.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
39517,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia julibrissin,Albizia julibrissin,5268475.0,916750.0,99252.0,956360.0,560323.0,39514.0,39517.0,Eukaryota,,life,,,Caesalpinioideae,,,,,,,Ingeae,304358.0,,805080.0,,,560316.0,,,,,,,851918.0,[],species,,
40038,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Lycium,Lycium barbarum,Lycium barbarum,5268475.0,916750.0,99252.0,1050255.0,473827.0,442500.0,40038.0,Eukaryota,,life,,,Solanoideae,,,,,,,Lycieae,304358.0,,805080.0,,,13867.0,,,,,,,484918.0,[],species,,
