ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,domain,no rank,subfamily,subgenus,subtribe,tribe,domain_ott_id,no rank_ott_id,subfamily_ott_id,subgenus_ott_id,subtribe_ott_id,tribe_ott_id,flags,rank
96178,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Glaucium,Glaucium flavum,Glaucium flavum,5268475.0,916750.0,99252.0,872975.0,438092.0,96179.0,96178.0,Eukaryota,life,Papaveroideae,,,,304358.0,805080.0,5478993.0,,,,[],species
156929,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus idaeus,Rubus idaeus,5268475.0,916750.0,99252.0,208031.0,208036.0,972648.0,156929.0,Eukaryota,life,Rosoideae,,,,304358.0,805080.0,731147.0,,,,['incertae_sedis_inherited'],species
333889,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa glauca,Rosa glauca,5268475.0,916750.0,99252.0,208031.0,208036.0,259066.0,333889.0,Eukaryota,life,Rosoideae,,,,304358.0,805080.0,731147.0,,,,['incertae_sedis_inherited'],species
378964,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum lycopersicum,Solanum lycopersicum,5268475.0,916750.0,99252.0,1050255.0,473827.0,1020645.0,378964.0,Eukaryota,life,Solanoideae,Lycopersicon,,Solaneae,304358.0,805080.0,13867.0,79618.0,,1061420.0,[],species
424284,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Neillia,Neillia incisa,Neillia incisa,5268475.0,916750.0,99252.0,208031.0,208036.0,48013.0,424284.0,Eukaryota,life,Amygdaloideae,,,Neillieae,304358.0,805080.0,731134.0,,,376838.0,[],species
438118,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,Papaver somniferum,Papaver somniferum,5268475.0,916750.0,99252.0,872975.0,438092.0,438123.0,438118.0,Eukaryota,life,Papaveroideae,,,,304358.0,805080.0,5478993.0,,,,[],species
731522,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Geum,Geum fragarioides,Geum fragarioides,5268475.0,916750.0,99252.0,208031.0,208036.0,28622.0,731522.0,Eukaryota,life,Rosoideae,,,Colurieae,304358.0,805080.0,731147.0,,,366725.0,['sibling_higher'],species
731831,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Corydalis,Corydalis flexuosa,Corydalis flexuosa,5268475.0,916750.0,99252.0,872975.0,438092.0,438103.0,731831.0,Eukaryota,life,Fumarioideae,,,,304358.0,805080.0,438104.0,,,,[],species
822716,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Hyoscyamus,Hyoscyamus niger,Hyoscyamus niger,5268475.0,916750.0,99252.0,1050255.0,473827.0,655479.0,822716.0,Eukaryota,life,Solanoideae,,,Hyoscyameae,304358.0,805080.0,13867.0,,,716094.0,[],species
822825,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Datura,Datura stramonium,Datura stramonium,5268475.0,916750.0,99252.0,1050255.0,473827.0,655485.0,822825.0,Eukaryota,life,Solanoideae,,,Datureae,304358.0,805080.0,13867.0,,,484909.0,[],species
852855,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Agrimonia,Agrimonia eupatoria,Agrimonia eupatoria,5268475.0,916750.0,99252.0,208031.0,208036.0,435258.0,852855.0,Eukaryota,life,Rosoideae,,Agrimoniinae,Sanguisorbeae,304358.0,805080.0,731147.0,,842795.0,891493.0,[],species
928569,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Lamprocapnos,Lamprocapnos spectabilis,Lamprocapnos spectabilis,5268475.0,916750.0,99252.0,872975.0,438092.0,928574.0,928569.0,Eukaryota,life,Fumarioideae,,,,304358.0,805080.0,438104.0,,,,[],species
1020641,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Petunia,Petunia integrifolia,Petunia integrifolia,5268475.0,916750.0,99252.0,1050255.0,473827.0,1020635.0,1020641.0,Eukaryota,life,Petunioideae,,,,304358.0,805080.0,13861.0,,,,[],species
