#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
486	spectra_filtered.mgf	*..*		:868	50107	-1	0	220.118	1	0.999112	0	0	238.1	895000.0	PANTOTHENIC ACID M+H	MONA	temp/spectra_filtered.mgf486	-1	MONA.mgf	0.0				11	0	0.0	220.118	0	CCMSLIB00006679138
156	spectra_filtered.mgf	*..*		:20337	17673	-1	0	165.076	1	0.999092	0	0	249.591	3371200.0	D-Sorbitol [M-H2O+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf156	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	1.20165				8	0	0.000198364	165.076	0	CCMSLIB00012271986
128	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.997975	0	0	100779.0	7729000.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf128	-1	GNPS-NIST14-MATCHES.mgf	2.1669				9	0	0.000396729	183.086	0	CCMSLIB00003136083
2078	spectra_filtered.mgf	*..*		:3792	1512	-1	0	163.038	1	0.997125	0	0	7916430.0	542000.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2078	-1	GNPS-NIST14-MATCHES.mgf	5.52183				6	0	0.000900269	163.039	0	CCMSLIB00003135999
389	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.996612	0	0	100779.0	1713200.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf389	-1	GNPS-NIST14-MATCHES.mgf	2.1669				9	0	0.000396729	183.086	0	CCMSLIB00003136083
682	spectra_filtered.mgf	*..*		:1701	50940	-1	0	291.086	1	0.996002	0	0	206.3	3982400.0	EPICATECHIN M+H	MONA	temp/spectra_filtered.mgf682	-1	MONA.mgf	1.0484				11	0	0.000305176	291.086	0	CCMSLIB00006679971
1066	spectra_filtered.mgf	*..*		:1708	179	-1	0	195.065	1	0.995669	0	0	17421400.0	3138300.0	Ferulic acid M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf1066	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1.56448				7	0	0.000305176	195.065	0	CCMSLIB00011906145
660	spectra_filtered.mgf	*..*		:1248	50487	-1	0	205.097	1	0.995539	0	0	217.2	997800.0	TRYPTOPHAN M+H	MONA	temp/spectra_filtered.mgf660	-1	MONA.mgf	0.967173				8	0	0.000198364	205.097	0	CCMSLIB00006679518
265	spectra_filtered.mgf	*..*		:154	3126	-1	0	182.081	1	0.99528	0	0	51351600.0	586200.0	Spectral Match to L-Tyrosine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf265	-1	GNPS-NIST14-MATCHES.mgf	1.67604				7	0	0.000305176	182.081	0	CCMSLIB00003137613
920	spectra_filtered.mgf	*..*		:7936	8382	-1	0	163.039	1	0.994723	0	0	9648060.0	1574100.0	Caffeicacid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf920	-1	BERKELEY-LAB.mgf	0.0				7	0	0.0	163.039	0	CCMSLIB00010110370
819	spectra_filtered.mgf	*..*		:963	5	-1	0	291.086	1	0.994563	0	0	9545950.0	18564000.0	Catechin M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf819	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1.0484				13	0	0.000305176	291.086	0	CCMSLIB00011905970
1057	spectra_filtered.mgf	*..*		:558	7451	-1	0	286.144	1	0.993667	0	0	188588000.0	5915000.0	1-[(4-hydroxyphenyl)methyl]-6-methoxy-1,2,3,4-tetrahydroisoquinolin-7-ol M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf1057	-1	GNPS-LIBRARY.mgf	0.426604				11	0	0.00012207	286.144	0	CCMSLIB00005724962
939	spectra_filtered.mgf	*..*		:27	666	-1	0	177.054	1	0.993506	0	0	3556070.0	3624000.0	FERULATE M-H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf939	-1	GNPS-MSMLS.mgf	3.96435				7	0	0.000701904	177.055	0	CCMSLIB00005464417
1168	spectra_filtered.mgf	*..*		:9146	9592	-1	0	177.055	1	0.993304	0	0	45811500.0	3177000.0	ferulic acid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf1168	-1	BERKELEY-LAB.mgf	1.63744				7	0	0.000289917	177.055	0	CCMSLIB00010111580
414	spectra_filtered.mgf	*..*		:20	450	-1	0	166.086	1	0.993214	0	0	15554700.0	2453000.0	PHENYLALANINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf414	-1	GNPS-MSMLS.mgf	1.83746				6	0	0.000305176	166.086	0	CCMSLIB00005464201
827	spectra_filtered.mgf	*..*		:7936	8382	-1	0	163.039	1	0.993208	0	0	9648060.0	3815900.0	Caffeicacid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf827	-1	BERKELEY-LAB.mgf	0.0				7	0	0.0	163.039	0	CCMSLIB00010110370
672	spectra_filtered.mgf	*..*		:7936	8382	-1	0	163.039	1	0.992798	0	0	9648060.0	1425600.0	Caffeicacid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf672	-1	BERKELEY-LAB.mgf	0.0				7	0	0.0	163.039	0	CCMSLIB00010110370
2128	spectra_filtered.mgf	*..*		:27	666	-1	0	177.054	1	0.992588	0	0	3556070.0	844000.0	FERULATE M-H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf2128	-1	GNPS-MSMLS.mgf	5.08471				6	0	0.000900269	177.055	0	CCMSLIB00005464417
388	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.992141	0	0	73527700.0	606000.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf388	-1	GNPS-LIBRARY.mgf	0.647045				9	0	0.000106812	165.076	0	CCMSLIB00012176426
604	spectra_filtered.mgf	*..*		:21	476	-1	0	163.038	1	0.992087	0	0	3056000.0	1715000.0	CAFFEATE M-H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf604	-1	GNPS-MSMLS.mgf	6.17697				7	0	0.00100708	163.039	0	CCMSLIB00005464227
744	spectra_filtered.mgf	*..*		:7936	8382	-1	0	163.039	1	0.992052	0	0	9648060.0	9053000.0	Caffeicacid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf744	-1	BERKELEY-LAB.mgf	0.0				7	0	0.0	163.039	0	CCMSLIB00010110370
1003	spectra_filtered.mgf	*..*		:2109	3963	-1	0	135.117	1	0.991795	0	0	105344.0	126500.0	Spectral Match to .alpha.-Pinene oxide from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1003	-1	GNPS-NIST14-MATCHES.mgf	0.0				7	0	0.0	135.117	0	CCMSLIB00003138450
3698	spectra_filtered.mgf	*..*		:12757	11076	-1	0	163.098	1	0.99171	0	0	349.023	380700.0	146422-58-4 [M-H2O+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3698	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	1.30978				7	0	0.000213623	163.098	0	CCMSLIB00012265389
3654	spectra_filtered.mgf	*..*		:8931	7742	-1	0	163.099	1	0.991385	0	0	325.506	304900.0	DISOXARIL [M-H2O+2H]+2	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3654	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	7.39087				7	0	0.00120544	163.098	0	CCMSLIB00012258269
3636	spectra_filtered.mgf	*..*		:12757	11076	-1	0	163.098	1	0.991123	0	0	349.023	279800.0	146422-58-4 [M-H2O+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3636	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	1.30978				7	0	0.000213623	163.098	0	CCMSLIB00012265389
1693	spectra_filtered.mgf	*..*		:9146	9592	-1	0	177.055	1	0.990997	0	0	45811500.0	1806400.0	ferulic acid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf1693	-1	BERKELEY-LAB.mgf	2.24071				7	0	0.000396729	177.055	0	CCMSLIB00010111580
1076	spectra_filtered.mgf	*..*		:9146	9592	-1	0	177.055	1	0.990617	0	0	45811500.0	2581100.0	ferulic acid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf1076	-1	BERKELEY-LAB.mgf	2.24071				7	0	0.000396729	177.055	0	CCMSLIB00010111580
344	spectra_filtered.mgf	*..*		:876	1322	-1	0	168.102	1	0.990417	0	0	90885100.0	928600.0	4-(2-Aminoethyl)-2-methoxyphenol CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf344	-1	BERKELEY-LAB.mgf	0.0				6	0	0.0	168.102	0	CCMSLIB00010103310
674	spectra_filtered.mgf	*..*		:520	49759	-1	0	181.05	1	0.990349	0	0	140.7	2636100.0	CIS-CAFFEIC ACID M+H	MONA	temp/spectra_filtered.mgf674	-1	MONA.mgf	2.78122				6	0	0.00050354	181.049	0	CCMSLIB00006678790
1324	spectra_filtered.mgf	*..*		:3792	1512	-1	0	163.038	1	0.990241	0	0	7916430.0	2308300.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1324	-1	GNPS-NIST14-MATCHES.mgf	6.17697				6	0	0.00100708	163.039	0	CCMSLIB00003135999
3250	spectra_filtered.mgf	*..*		:2996	860	-1	0	496.329	1	0.990104	0	0	5179180.0	1265100.0	Spectral Match to Lyso-PC(16:0) from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3250	-1	GNPS-NIST14-MATCHES.mgf	21.7663				12	0	0.0108032	496.34	0	CCMSLIB00003135346
279	spectra_filtered.mgf	*..*		:26	563	-1	0	268.104	1	0.989608	0	0	13597300.0	1788800.0	ADENOSINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf279	-1	GNPS-MSMLS.mgf	0.0				7	0	0.0	268.104	0	CCMSLIB00005464314
3596	spectra_filtered.mgf	*..*		:19876	17274	-1	0	163.099	1	0.989426	0	0	270.4	241000.0	Viquidil [M+2H]+2	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3596	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	7.39087				6	0	0.00120544	163.098	0	CCMSLIB00012271587
1530	spectra_filtered.mgf	*..*		:3792	1512	-1	0	163.038	1	0.989311	0	0	7916430.0	388900.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1530	-1	GNPS-NIST14-MATCHES.mgf	5.52183				6	0	0.000900269	163.039	0	CCMSLIB00003135999
938	spectra_filtered.mgf	*..*		:43758	55757	-1	0	304.154	1	0.988813	0	0	921374.0	33468000.0	Massbank:NA002907 (-)-Scopolamine M+H	MASSBANK	temp/spectra_filtered.mgf938	-1	MASSBANK.mgf	0.401344				8	0	0.00012207	304.154	0	CCMSLIB00005769309
1310	spectra_filtered.mgf	*..*		:27	666	-1	0	177.054	1	0.988619	0	0	3556070.0	2459400.0	FERULATE M-H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf1310	-1	GNPS-MSMLS.mgf	3.96435				6	0	0.000701904	177.055	0	CCMSLIB00005464417
1197	spectra_filtered.mgf	*..*		:520	49759	-1	0	181.05	1	0.988522	0	0	140.7	1763800.0	CIS-CAFFEIC ACID M+H	MONA	temp/spectra_filtered.mgf1197	-1	MONA.mgf	3.37118				6	0	0.000610352	181.049	0	CCMSLIB00006678790
1103	spectra_filtered.mgf	*..*		:963	5	-1	0	291.086	1	0.988111	0	0	9545950.0	7434800.0	Catechin M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf1103	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1.0484				15	0	0.000305176	291.086	0	CCMSLIB00011905970
621	spectra_filtered.mgf	*..*		:1	5127	-1	0	181.05	1	0.988092	0	0	31084900.0	1680300.0	caffeic acid-emf M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf621	-1	GNPS-LIBRARY.mgf	2.78122				8	0	0.00050354	181.049	0	CCMSLIB00005463719
1765	spectra_filtered.mgf	*..*		:9146	9592	-1	0	177.055	1	0.988081	0	0	45811500.0	982300.0	ferulic acid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf1765	-1	BERKELEY-LAB.mgf	2.24071				7	0	0.000396729	177.055	0	CCMSLIB00010111580
149	spectra_filtered.mgf	*..*		:691	49930	-1	0	193.071	1	0.987474	0	0	444.9	1375000.0	QUINIC ACID M+H	MONA	temp/spectra_filtered.mgf149	-1	MONA.mgf	1.58064				8	0	0.000305176	193.071	0	CCMSLIB00006678961
743	spectra_filtered.mgf	*..*		:520	49759	-1	0	181.05	1	0.987451	0	0	140.7	1647500.0	CIS-CAFFEIC ACID M+H	MONA	temp/spectra_filtered.mgf743	-1	MONA.mgf	2.78122				6	0	0.00050354	181.049	0	CCMSLIB00006678790
1287	spectra_filtered.mgf	*..*		:662	13903	-1	0	330.17	1	0.987368	0	0	2050850000.0	18224100.0	Reticuline M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf1287	-1	GNPS-LIBRARY.mgf	1.75617				15	0	0.000579834	330.171	0	CCMSLIB00012060262
1423	spectra_filtered.mgf	*..*		:3792	1512	-1	0	163.038	1	0.987315	0	0	7916430.0	596000.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1423	-1	GNPS-NIST14-MATCHES.mgf	6.17697				6	0	0.00100708	163.039	0	CCMSLIB00003135999
820	spectra_filtered.mgf	*..*		:520	49759	-1	0	181.05	1	0.987315	0	0	140.7	783600.0	CIS-CAFFEIC ACID M+H	MONA	temp/spectra_filtered.mgf820	-1	MONA.mgf	2.78122				6	0	0.00050354	181.049	0	CCMSLIB00006678790
194	spectra_filtered.mgf	*..*		:1	11113	-1	0	138.055	1	0.987092	0	0	25597600.0	3345000.0	Trigonelline M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf194	-1	GNPS-LIBRARY.mgf	0.0				6	0	0.0	138.055	0	CCMSLIB00006717990
3585	spectra_filtered.mgf	*..*		:12757	11076	-1	0	163.098	1	0.986934	0	0	349.023	164700.0	146422-58-4 [M-H2O+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3585	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	1.30978				7	0	0.000213623	163.098	0	CCMSLIB00012265389
172	spectra_filtered.mgf	*..*		:1172	52294	-1	0	179.055	1	0.986857	0	0	577.0	509200.0	GLUCONO-1,5-LACTONE M+H	MONA	temp/spectra_filtered.mgf172	-1	MONA.mgf	0.596529				9	0	0.000106812	179.055	0	CCMSLIB00006681325
1709	spectra_filtered.mgf	*..*		:3792	1512	-1	0	163.038	1	0.986683	0	0	7916430.0	725700.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1709	-1	GNPS-NIST14-MATCHES.mgf	5.52183				6	0	0.000900269	163.039	0	CCMSLIB00003135999
3627	spectra_filtered.mgf	*..*		:8931	7742	-1	0	163.099	1	0.986587	0	0	325.506	215400.0	DISOXARIL [M-H2O+2H]+2	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3627	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	6.73599				7	0	0.00109863	163.098	0	CCMSLIB00012258269
1295	spectra_filtered.mgf	*..*		:1	539	-1	0	197.081	1	0.986146	0	0	30459400.0	1041000.0	Divaric acid [M+H]	LDB_POSITIVE	temp/spectra_filtered.mgf1295	-1	LDB_POSITIVE.mgf	0.464544				9	0	9.15527e-05	197.081	0	CCMSLIB00005719967
884	spectra_filtered.mgf	*..*		:19	148	-1	0	165.055	1	0.985771	0	0	8454380.0	2091700.0	4-COUMARATE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf884	-1	GNPS-MSMLS.mgf	1.75649				7	0	0.000289917	165.055	0	CCMSLIB00005463899
663	spectra_filtered.mgf	*..*		:620	2573	-1	0	188.07	1	0.985646	0	0	4792390.0	1082700.0	Spectral Match to L-Tryptophan from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf663	-1	GNPS-NIST14-MATCHES.mgf	3.65101				7	0	0.000686646	188.071	0	CCMSLIB00003137060
1105	spectra_filtered.mgf	*..*		:760	3988	-1	0	355.102	1	0.985164	0	0	168477000.0	1922400.0	Chlorogenic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf1105	-1	GNPS-LIBRARY.mgf	0.859403				7	0	0.000305176	355.102	0	CCMSLIB00004684185
2928	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.984979	0	0	4896590.0	22840000.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf2928	-1	BERKELEY-LAB.mgf	0.734988				7	0	0.000305176	415.212	0	CCMSLIB00010113136
1236	spectra_filtered.mgf	*..*		:2276	47504	-1	0	355.102	1	0.984911	0	0	101.444	9950000.0	Undulatoside A [M+H]+	MONA	temp/spectra_filtered.mgf1236	-1	MONA.mgf	2.83603				6	0	0.00100708	355.103	0	CCMSLIB00004720106
611	spectra_filtered.mgf	*..*		:3054	14176	-1	0	355.103	1	0.984849	0	0	346024000.0	3807100.0	Chlorogenic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf611	-1	GNPS-LIBRARY.mgf	2.23444				9	0	0.000793457	355.102	0	CCMSLIB00012176440
845	spectra_filtered.mgf	*..*		:760	3988	-1	0	355.102	1	0.984755	0	0	168477000.0	6564200.0	Chlorogenic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf845	-1	GNPS-LIBRARY.mgf	1.11722				8	0	0.000396729	355.102	0	CCMSLIB00004684185
1178	spectra_filtered.mgf	*..*		:1354	50593	-1	0	195.065	1	0.984452	0	0	199.0	1097600.0	FERULIC ACID M+H	MONA	temp/spectra_filtered.mgf1178	-1	MONA.mgf	1.56448				6	0	0.000305176	195.065	0	CCMSLIB00006679624
1692	spectra_filtered.mgf	*..*		:1354	50593	-1	0	195.065	1	0.984074	0	0	199.0	673400.0	FERULIC ACID M+H	MONA	temp/spectra_filtered.mgf1692	-1	MONA.mgf	1.01691				6	0	0.000198364	195.065	0	CCMSLIB00006679624
383	spectra_filtered.mgf	*..*		:26	260	-1	0	138.055	1	0.983924	0	0	1625920.0	644700.0	TRIGONELLINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf383	-1	GNPS-MSMLS.mgf	0.773688				6	0	0.000106812	138.055	0	CCMSLIB00005464011
2086	spectra_filtered.mgf	*..*		:1771	4670	-1	0	356.186	1	0.983837	0	0	817030000.0	241690000.0	Glaucine M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf2086	-1	GNPS-LIBRARY.mgf	0.0				9	0	0.0	356.186	0	CCMSLIB00005436123
2438	spectra_filtered.mgf	*..*		:14757	12814	-1	0	342.264	1	0.983549	0	0	142.177	940800.0	TOFA [M+NH4]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf2438	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.0				8	0	0.0	342.264	0	CCMSLIB00012267127
950	spectra_filtered.mgf	*..*		:1354	50593	-1	0	195.065	1	0.983292	0	0	199.0	1002100.0	FERULIC ACID M+H	MONA	temp/spectra_filtered.mgf950	-1	MONA.mgf	1.56448				6	0	0.000305176	195.065	0	CCMSLIB00006679624
1502	spectra_filtered.mgf	*..*		:10714	11160	-1	0	465.103	1	0.982706	0	0	5879350.0	2570500.0	CCG-208508 CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf1502	-1	BERKELEY-LAB.mgf	0.459303				14	0	0.000213623	465.103	0	CCMSLIB00010113148
1075	spectra_filtered.mgf	*..*		:3792	1512	-1	0	163.038	1	0.982509	0	0	7916430.0	1283000.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1075	-1	GNPS-NIST14-MATCHES.mgf	6.17697				6	0	0.00100708	163.039	0	CCMSLIB00003135999
1327	spectra_filtered.mgf	*..*		:8407	20406	-1	0	290.175	1	0.982438	0	0	753651000.0	17145000.0	Massbank:EQ333403 Atropine|(1R,5S)-8-Methyl-8-azabicyclo[3.2.1]oct-3-yl tropate M+H	MASSBANK	temp/spectra_filtered.mgf1327	-1	MASSBANK.mgf	0.315509				7	0	9.15527e-05	290.175	0	CCMSLIB00005733958
1237	spectra_filtered.mgf	*..*		:3792	1512	-1	0	163.038	1	0.981767	0	0	7916430.0	450100.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1237	-1	GNPS-NIST14-MATCHES.mgf	6.17697				6	0	0.00100708	163.039	0	CCMSLIB00003135999
2956	spectra_filtered.mgf	*..*		:9952	8620	-1	0	318.3	1	0.981295	0	0	170.296	350400.0	phytosphingosine [M+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf2956	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.958768				11	0	0.000305176	318.3	0	CCMSLIB00012260331
433	spectra_filtered.mgf	*..*		:97687	97686	-1	0	289.092	1	0.981235	0	0	110.566	1546300.0	Dianthoside [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf433	-1	MSNLIB-POSITIVE.mgf	1.05564				6	0	0.000305176	289.092	0	CCMSLIB00012448939
997	spectra_filtered.mgf	*..*		:5766	6212	-1	0	306.17	1	0.981205	0	0	5286680.0	5709000.0	anisodamine CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf997	-1	BERKELEY-LAB.mgf	0.398701				10	0	0.00012207	306.17	0	CCMSLIB00010108200
1717	spectra_filtered.mgf	*..*		:519	303	-1	0	449.108	1	0.981068	0	0	181379000.0	1280200.0	KAEMPFEROL-4'-GLUCOSIDE M+H	LEAFBOT	temp/spectra_filtered.mgf1717	-1	LEAFBOT.mgf	0.679515				8	0	0.000305176	449.108	0	CCMSLIB00011428075
863	spectra_filtered.mgf	*..*		:9146	9592	-1	0	177.055	1	0.980563	0	0	45811500.0	489200.0	ferulic acid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf863	-1	BERKELEY-LAB.mgf	1.63744				7	0	0.000289917	177.055	0	CCMSLIB00010111580
1589	spectra_filtered.mgf	*..*		:10714	11160	-1	0	465.103	1	0.980545	0	0	5879350.0	16255000.0	CCG-208508 CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf1589	-1	BERKELEY-LAB.mgf	0.196844				14	0	9.15527e-05	465.103	0	CCMSLIB00010113148
2048	spectra_filtered.mgf	*..*		:1771	4670	-1	0	356.186	1	0.979965	0	0	817030000.0	12757000.0	Glaucine M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf2048	-1	GNPS-LIBRARY.mgf	125.262				9	0	0.0446167	356.141	0	CCMSLIB00005436123
165	spectra_filtered.mgf	*..*		:1755	50994	-1	0	360.15	1	0.979721	0	0	361.4	11663000.0	SUCROSE M+NH4	MONA	temp/spectra_filtered.mgf165	-1	MONA.mgf	0.0				11	0	0.0	360.15	0	CCMSLIB00006680025
1718	spectra_filtered.mgf	*..*		:34109	34109	-1	0	595.166	1	0.979348	0	0	127.31	7332600.0	kaempferol 3-neohesperidoside [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf1718	-1	MSNLIB-POSITIVE.mgf	0.410206				9	0	0.000244141	595.166	0	CCMSLIB00012335993
1557	spectra_filtered.mgf	*..*		:19	148	-1	0	165.055	1	0.979237	0	0	8454380.0	891400.0	4-COUMARATE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf1557	-1	GNPS-MSMLS.mgf	1.75649				6	0	0.000289917	165.055	0	CCMSLIB00005463899
1755	spectra_filtered.mgf	*..*		:4692	5138	-1	0	303.05	1	0.979162	0	0	1752230.0	1625000.0	quercetin CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf1755	-1	BERKELEY-LAB.mgf	0.604209				15	0	0.000183105	303.05	0	CCMSLIB00010107126
1896	spectra_filtered.mgf	*..*		:729	115	-1	0	433.113	1	0.979076	0	0	241211000.0	2430300.0	APIGENIN-7-O-GLUCOSIDE(COSMOSIIN) M+H	LEAFBOT	temp/spectra_filtered.mgf1896	-1	LEAFBOT.mgf	0.0				6	0	0.0	433.113	0	CCMSLIB00011427887
393	spectra_filtered.mgf	*..*		:1755	50994	-1	0	360.15	1	0.97904	0	0	361.4	2681400.0	SUCROSE M+NH4	MONA	temp/spectra_filtered.mgf393	-1	MONA.mgf	0.0				11	0	0.0	360.15	0	CCMSLIB00006680025
