cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
1	244.9467824258508	0.49231347	-1		
2	286.9583653606803	0.49706915	339		
3	255.9388697320552	0.4977387	-1		
4	398.9056831159502	0.50051534	-1		
5	268.94774994056473	0.5037053	339		
6	234.9612405484465	0.5048334	-1		
7	312.92013261441093	0.5086986	47		
8	265.0154737664524	0.51017517	47		
9	218.9836716209148	0.51020664	47		
10	241.9995534212474	0.5110899	47		
11	369.9245580855543	0.51157683	47		
12	442.8781684640469	0.5126279	47		
13	257.9770710439774	0.5127813	47		
14	200.9730609521148	0.5134731	47		
15	182.96249376051884	0.51370865	47		
16	458.8558545516029	0.5139464	47		
17	243.0007951529469	0.5141327	47		
18	328.897889544427	0.51454103	47		
19	239.96658993426027	0.514793	47		
20	217.95166744032247	0.51509976	47		
21	198.94011331517348	0.51571244	47		
22	216.95066575159447	0.51576006	47		
23	241.9638262545701	0.5159448	47		
24	422.37888349702433	0.5162201	47		
25	588.8137074156376	0.5162201	47		
26	474.8334416427533	0.5171597	47		
27	344.8754332288996	0.51720226	47		
28	218.9477569243527	0.5174718	47		
29	143.9968939021933	0.5193083	-1		
30	232.92826120993004	0.5193491	47		
31	240.96793228560105	0.5194368	47		
32	357.39996253155005	0.5200097	47		
33	385.9021199745179	0.5200097	47		
34	218.9105384359748	0.52157557	47		
35	215.9210138385832	0.5217612	47		
36	214.91764583484587	0.5221803	47	36.0	CITRATE
37	184.02818678490368	0.5225687	47		
38	255.9441295590552	0.5232517	47		
39	221.1284638928036	0.5316278	177		
40	126.98980045077364	0.5337167	-1		
41	350.8853090112684	0.5352931	-1		
42	298.8790045371785	0.5417353	-1		
43	488.7893708207423	0.54413617	195		
44	382.840351696038	0.5495324	-1		
45	404.8279280128718	0.5506034	195		
46	332.99799519127055	0.55244625	-1		
47	320.8664112738299	0.5527878	-1		
48	251.0611374615539	0.5529494	355		
49	289.0168832800276	0.5529494	-1		
50	236.9049764099817	0.5552314	-1		
51	430.9139225603432	0.5558181	-1		
52	362.9263232745936	0.55733436	-1		
53	252.88243713827444	0.5589812	-1		
54	374.8087599858846	0.5591732	195		
55	458.7701655392965	0.5591732	195		
56	542.731730368614	0.5591732	195		
57	336.8437762812575	0.5605421	195		
58	550.7630976252253	0.5620616	195		
59	249.04620511117184	0.56299704	355		
60	208.8840385640985	0.56362104	-1		
61	131.54241528472255	0.5647951	-1		
62	287.0015927054782	0.56519186	-1		
63	292.8452743874183	0.56522304	195		
64	206.88599719523967	0.56632346	-1		
65	290.8472199755364	0.5663293	195		
66	122.9246993666418	0.56834507	-1		
67	265.02335520203366	0.56834024	340		
68	181.9617185966094	0.5708877	-1		
69	139.5310844603248	0.57160556	-1		
70	420.8051029460277	0.57368433	195		
71	256.98238068217154	0.57414824	-1		
72	193.0631659919606	0.57532007	199	72.0	QUINIC ACID
73	130.52589191335076	0.5772119	62		
74	195.97744653967564	0.5822543	-1		
75	222.9881853623617	0.5822543	-1		
76	296.0654212397452	0.58269674	526		
77	290.57745805575667	0.5881241	62		
78	212.8518881595033	0.589539	394		
79	192.05539505773143	0.5916739	-1		
80	219.0265899242763	0.5917949	47		
81	200.0441908281981	0.5919003	62		
82	183.0501211481642	0.5932956	62		
83	445.08666035559605	0.5937498	340		
84	282.087125356432	0.5946127	62		
85	465.0405082722479	0.59519786	-1		
86	272.9774057730244	0.5955227	-1		
87	268.98207216848937	0.59679466	-1		
88	205.0682592312347	0.5968286	-1		
89	221.0419876087201	0.59713095	-1		
90	290.07576562345224	0.5971335	62		
91	279.04772524103083	0.5985132	-1		
92	191.0388178869368	0.5994894	62		
93	194.0710435252606	0.59953654	-1		
94	383.09637852794935	0.59953654	-1		
95	387.1340811037902	0.59953654	355		
96	174.8959542656023	0.6015722	-1		
97	212.8422382389633	0.60225075	394		
98	427.0757867441272	0.60377556	171		
99	353.0846993608184	0.60476124	-1		
100	219.04860099781112	0.60536087	-1		
101	411.0980509854053	0.60680217	171		
102	455.11648858437	0.60724384	-1		
103	273.0817194657659	0.6078907	62		
104	323.0736698325368	0.6080281	-1		
105	182.94566135457504	0.6081017	62		
106	241.1546025359289	0.6085089	526		
107	293.06303839396605	0.6104932	195		
108	220.02999867975063	0.6105385	-1		
109	235.02129099075643	0.61117065	-1		
110	371.1023886185811	0.61165035	62		
111	281.0703142383613	0.6123662	62		
112	249.0364679563029	0.61416817	255		
113	381.0793019210143	0.6145187	310		
114	455.0120749048337	0.6148738	-1		
115	172.09686444109215	0.6156602	196		
116	517.0094598939584	0.6158597	-1		
117	362.0968250746226	0.6163859	62		
118	176.01086954965726	0.61671746	226		
119	384.0812082941858	0.6169754	-1		
120	354.10807582076336	0.6172127	62		
121	543.1325481011298	0.61746347	-1		
122	201.05200246123005	0.61893415	-1		
123	231.02645898618417	0.6190078	-1		
124	533.1547771982865	0.6206371	62		
125	351.0687386545817	0.6208288	-1		
126	525.1658997045802	0.62112194	62		
127	137.0652064564215	0.6266164	241		
128	183.08638837749788	0.62700033	57	128.0	Spectral Match to D-Sorbitol from NIST14
129	130.05001611301233	0.62773836	62		
130	148.06041934496747	0.627963	16	130.0	Glutamate - 50.00 eV
131	134.117695489977	0.6283246	-1		
132	490.1767595073505	0.6289205	-1		
133	136.07587567740578	0.6296248	-1		
134	263.01629769483253	0.6303237	516		
135	175.10780225192104	0.6320502	329	135.0	L-(+)-Arginine - 40.0 eV
136	198.0972553286649	0.63289315	57	136.0	Spectral Match to .beta.-D-Glucose from NIST14
137	304.15036186779673	0.63308096	-1		
138	142.1227260130225	0.6334657	183		
139	263.0523247861173	0.6335552	516		
140	147.06516081517296	0.6345573	57	140.0	D-Sorbitol
141	180.08664286514144	0.6350415	57	141.0	Spectral Match to D-Fructose from NIST14
142	147.07642047640385	0.6352529	16		
143	203.05263353565192	0.63530606	367		
144	306.0485437354042	0.6378309	-1		
145	233.04192331322344	0.638307	-1		
146	230.9901593559621	0.6385479	-1		
147	296.0575274724961	0.6387453	62		
148	129.05469803289225	0.64005417	57	148.0	5-Methoxy-5-oxopentanoic acid CollisionEnergy:102040
149	193.0706674104744	0.6405113	199	149.0	QUINIC ACID
150	255.09710702237183	0.64102685	-1		
151	337.0893805288804	0.641407	-1		
152	214.09212422591887	0.6415411	-1		
153	146.11770603294016	0.64278233	699		
154	147.12083773798392	0.64278233	-1		
155	146.09243494733235	0.64314455	-1	155.0	4-GUANIDINOBUTANOIC ACID
156	165.0757671843006	0.64314455	57	156.0	D-Sorbitol
157	206.02603106424328	0.64331937	-1		
158	210.940584549338	0.644033	-1		
159	330.1392953302327	0.646347	79		
160	163.05994228798406	0.6469758	57	160.0	"""1,6-ANHYDRO-B-GLUCOSE"""
161	145.04956537114418	0.64701444	57		
162	343.12336580221347	0.6471535	57	162.0	Sucrose
163	176.09173777798162	0.6471975	226		
164	184.07326607728555	0.6475471	-1	164.0	PHOSPHOCHOLINE
165	360.1499912116147	0.64846224	57	165.0	SUCROSE
166	177.02325243888367	0.6487514	62		
167	148.09676110729538	0.6502086	16		
168	353.03906128296626	0.6511351	516		
169	203.0038752862731	0.6521101	367		
170	136.06191648410362	0.6521976	241		
171	127.03917177252104	0.6526018	82		
172	179.0550548821892	0.65286183	-1	172.0	"""GLUCONO-1,5-LACTONE"""
173	515.0923383510647	0.6530393	171		
174	499.11431687066994	0.65392965	171		
175	210.0971558002958	0.654326	199		
176	258.0496913091208	0.65532434	62		
177	192.15955193631385	0.65805984	801		
178	160.0968107308027	0.6593286	226		
179	335.0742836145737	0.65991753	-1		
180	365.1054251136376	0.6606414	-1		
181	325.11282859539955	0.663262	57	181.0	Sucrose
182	259.0812493757557	0.6633047	-1		
183	133.04968516929634	0.66394925	-1		
184	189.1597494001396	0.66395485	445	184.0	ALPHA-N-ACETYL-GLUTAMINE
185	258.109108716405	0.66685665	526		
186	289.0916104622157	0.66753393	-1		
187	307.1019447961408	0.6682118	-1		
188	139.05827171928362	0.6713619	183		
189	174.1125432743011	0.671925	196		
190	215.0514511930995	0.6728557	-1		
191	213.063595221792	0.6780146	-1		
192	256.0816105446607	0.6782103	503		
193	242.08696179537927	0.6841695	-1		
194	138.05502858300733	0.68530536	183	194.0	Trigonelline
195	189.03938238788223	0.68568796	445		
196	146.1651888899748	0.6936663	699		
197	242.9903130136203	0.6988817	-1		
198	221.12835526898417	0.7005808	177		
199	244.11140899256355	0.7049296	-1		
200	388.1808048298096	0.7102559	-1		
201	124.03952952330258	0.7179074	183		
202	195.0862539251824	0.7303431	57		
203	247.0424972653621	0.7310177	-1		
204	291.01960635905016	0.73177564	-1		
205	135.0441955068685	0.73295134	-1		
206	136.0619190905162	0.7385422	-1		
207	321.9618187149537	0.74365544	-1		
208	306.99728157246363	0.7487922	256		
209	157.01081346718524	0.7511136	-1		
210	157.01317952726689	0.7512903	-1		
211	212.1127333907308	0.7534034	57		
212	217.06818443669	0.7534034	-1		
213	150.07748357942518	0.7542249	831		
214	130.08639619333889	0.75464696	16		
215	203.00384431657776	0.77581936	367		
216	324.05913363535285	0.7764819	-1		
217	152.07070521621137	0.77849185	207	217.0	2-amino-2-phenylacetic acid
218	134.0601833582981	0.78024894	-1		
219	210.06084530224416	0.7849012	86		
220	192.0498703091812	0.79064274	-1		
221	212.979458665566	0.79064274	-1		
222	307.07950499848346	0.7931882	-1		
223	335.074179240015	0.79410225	-1		
224	192.1595382968507	0.79473174	801		
225	330.1183543288219	0.79560155	197		
226	166.08630566102585	0.79580134	207		
227	218.9814235976203	0.79853857	256		
228	155.08932634143753	0.80161333	-1		
229	137.0596648457884	0.8022113	2		
230	314.1444854079708	0.80716294	90		
231	261.0580512027169	0.81125253	-1		
232	275.05267317389263	0.8145948	-1		
233	154.0862575578822	0.81803703	517		
234	175.02374367447445	0.8193799	86		
235	304.0793441071487	0.81966215	208		
236	230.99022962647777	0.8201839	-1		
237	215.01621211876468	0.8210384	-1		
238	193.0344032742676	0.8215967	86		
239	284.1340237598863	0.82182926	-1		
240	242.98237508507384	0.82979137	-1		
241	330.05981149337447	0.8420975	76	241.0	"""ADENOSINE 2',3'-CYCLIC PHOSPHATE"""
