CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
229	1112	2	0.9335	-9.984
548	1112	2	0.9278	-9.984
630	1112	2	0.9682	0.000
777	1112	2	0.9631	0.000
878	1112	2	0.9785	0.000
1022	1112	2	0.9119	0.000
1112	1157	2	0.9172	0.000
1112	1383	2	0.9562	0.000
1112	1466	2	0.9239	9.984
1112	1546	2	0.9652	0.000
229	630	2	0.9075	-9.984
630	878	2	0.969	0.000
1149	1630	2	0.906	3.995
1438	2058	2	0.9131	18.011
229	753	2	0.9029	-9.984
753	777	2	0.9688	-0.000
753	1157	2	0.9089	0.000
753	1438	2	0.943	-18.011
753	1466	2	0.9013	9.984
753	1630	2	0.9753	0.000
753	1690	2	0.9611	0.000
753	2259	2	0.904	0.000
229	548	2	0.9682	-0.000
548	777	2	0.9171	-9.984
548	878	2	0.9308	-9.984
548	1383	2	0.9189	-9.984
548	1466	2	0.9641	0.000
548	1546	2	0.9236	-9.984
995	1157	2	0.9097	0.000
995	1383	2	0.9716	0.000
995	1690	2	0.9633	0.000
777	1690	2	0.9626	0.000
878	1690	2	0.9672	0.000
1157	1690	2	0.9165	0.000
1383	1690	2	0.9661	0.000
1546	1690	2	0.9703	0.000
1630	1690	2	0.967	-0.000
229	1630	2	0.909	-9.984
777	1630	2	0.9749	0.000
1022	1630	2	0.9306	0.000
1157	1630	2	0.9311	0.000
1438	1630	2	0.929	18.011
1546	1630	2	0.9791	0.000
229	1546	2	0.9183	-9.984
777	1546	2	0.977	0.000
878	1546	2	0.9858	0.000
1157	1546	2	0.9189	0.000
1383	1546	2	0.9746	0.000
1466	1546	2	0.9181	-9.984
229	878	2	0.9321	-9.984
777	878	2	0.9806	0.000
878	1383	2	0.9713	0.000
878	1438	2	0.9198	-18.011
878	1466	2	0.9228	9.984
1438	2259	2	0.9007	18.011
229	1466	2	0.9663	-0.000
1383	1466	2	0.9139	9.984
777	1438	2	0.9237	-18.010
1022	1157	2	0.9109	0.000
229	777	2	0.9178	-9.985
777	1383	2	0.9649	0.000
229	1383	2	0.9129	-9.984
1157	1383	2	0.9032	0.000
1620	2066	4	0.8441	0.000
1772	2066	4	0.8447	0.000
1902	2066	4	0.8921	0.000
2066	2177	4	0.8597	-2.016
2066	2358	4	0.8577	-2.016
2066	2386	4	0.8631	-0.000
2066	2435	4	0.8648	-2.016
1229	2142	4	0.8507	13.979
1473	2142	4	0.8774	-2.016
1824	2142	4	0.8495	-0.000
2142	2177	4	0.8616	-28.031
2142	2358	4	0.8625	-28.031
2142	2435	4	0.8793	-28.031
2178	2388	4	0.8964	0.000
2351	2388	4	0.8494	-17.027
1620	2177	4	0.8624	-2.016
1772	2177	4	0.842	-2.016
1902	2177	4	0.897	-2.016
2177	2178	4	0.8988	-215.101
2177	2358	4	0.9826	0.000
2177	2435	4	0.9707	0.000
2184	2345	4	0.9631	0.000
1620	2435	4	0.8605	-2.016
1902	2435	4	0.8946	-2.016
2178	2435	4	0.8953	215.101
2184	2435	4	0.8476	18.011
2358	2435	4	0.9699	0.000
1145	1229	4	0.8513	-0.000
1229	1473	4	0.8411	15.995
1473	2804	4	0.8445	-66.047
1620	2358	4	0.861	-2.016
1772	2358	4	0.8416	-2.016
1902	2358	4	0.8934	-2.016
2178	2358	4	0.8919	215.101
1620	1902	4	0.9052	0.000
1772	1902	4	0.8943	-0.000
1620	1772	4	0.8832	0.000
2178	2351	4	0.8809	17.027
1571	2853	7	0.9082	-0.000
2523	2853	7	0.9321	-0.000
2853	3058	7	0.9252	0.000
2853	3139	7	0.9187	0.000
2853	3180	7	0.9002	0.000
2853	3247	7	0.9266	0.000
2853	3284	7	0.9165	0.000
2853	3320	7	0.9113	0.000
2853	3349	7	0.7861	-1.003
2853	3384	7	0.9138	0.000
1571	2523	7	0.9583	0.000
2523	3058	7	0.9526	0.000
2523	3139	7	0.9577	0.000
2523	3180	7	0.9281	0.000
2523	3247	7	0.9537	0.000
2523	3284	7	0.9467	0.000
2523	3320	7	0.9309	0.000
2523	3349	7	0.7689	-1.003
2523	3384	7	0.9483	0.000
1571	3284	7	0.94	0.000
3058	3284	7	0.9241	0.000
3139	3284	7	0.9595	0.000
3180	3284	7	0.9321	0.000
3247	3284	7	0.934	0.000
3284	3320	7	0.9183	-0.000
3284	3349	7	0.772	-1.004
3284	3384	7	0.9505	-0.000
1571	3058	7	0.9299	0.000
3058	3139	7	0.9413	0.000
3058	3180	7	0.9121	0.000
3058	3247	7	0.9348	0.000
3058	3320	7	0.9205	0.000
3058	3384	7	0.9332	0.000
1571	3384	7	0.9741	0.000
3139	3384	7	0.9541	0.000
3180	3384	7	0.9374	0.000
3247	3384	7	0.9491	-0.000
3320	3384	7	0.9329	0.000
1571	3320	7	0.9223	0.000
3139	3320	7	0.9329	0.000
3180	3320	7	0.9129	0.000
3247	3320	7	0.9342	-0.000
1571	3247	7	0.9401	0.000
3139	3247	7	0.9474	0.000
3180	3247	7	0.9289	0.000
1571	3139	7	0.9468	0.000
3139	3180	7	0.9284	0.000
3139	3349	7	0.7652	-1.003
1571	3180	7	0.9283	0.000
3218	3254	8	0.8826	0.000
2389	2457	9	0.9249	-0.001
2310	2621	9	0.784	15.995
2457	2621	9	0.7602	-96.055
2621	2622	9	0.8963	-18.010
2621	2623	9	0.8195	-36.021
2621	2625	9	0.7666	-233.111
2390	2457	9	0.802	18.010
2457	2458	9	0.7917	-18.010
2622	2623	9	0.8592	-18.010
2623	2625	9	0.7808	-197.091
2390	2458	9	0.7954	-0.001
2622	2625	9	0.7848	-215.101
2149	2660	9	0.8338	301.083
