CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2	5	18.011	0.000	0.7031	0.5992	1
3	18	-72.959	0.000	0.7157	0.5781	1
3	27	-88.936	0.000	0.7100	0.5955	1
3	30	23.011	0.000	0.7062	0.6286	1
3	38	-0.005	0.000	0.7151	0.5817	1
5	288	54.030	0.000	0.7053	0.6565	1
7	13	54.943	0.000	0.7421	0.5140	1
7	18	-15.978	0.000	0.8482	0.7115	1
7	19	72.954	0.000	0.9603	0.7839	1
7	21	113.980	0.000	0.7622	0.7581	1
7	22	95.969	0.000	0.8393	0.5326	1
8	10	23.016	0.000	0.7615	0.5509	1
8	14	64.042	0.000	0.7822	0.5981	1
8	23	23.052	0.000	0.7705	0.6199	1
8	702	-120.065	0.000	0.7087	0.5184	1
9	10	-23.016	0.000	0.7465	0.5174	1
9	23	-22.980	0.000	0.7407	0.4907	1
9	625	-156.085	0.000	0.7065	0.5200	1
9	2784	39.877	0.000	0.7014	0.5047	1
10	14	41.027	0.000	0.8085	0.6260	1
10	17	-1.001	0.000	0.7988	0.6589	1
10	19	2.033	0.000	0.8305	0.7282	1
10	23	0.036	0.000	0.9577	0.8394	1
10	31	1.032	0.000	0.7866	0.6989	1
10	38	-13.945	0.000	0.7477	0.5928	1
11	12	-72.954	0.000	0.7928	0.5530	1
11	16	-88.931	0.000	0.7544	0.5409	1
11	18	41.027	0.000	0.8141	0.6261	1
11	24	-473.826	0.000	0.7239	0.4939	1
11	26	-104.909	0.000	0.7033	0.5379	1
11	27	25.049	0.000	0.7732	0.5544	1
11	30	136.996	0.000	0.7565	0.5953	1
11	33	-15.978	0.000	0.7199	0.5411	1
11	38	113.980	0.000	0.7623	0.5953	1
12	16	-15.978	0.000	0.9077	0.7423	1
12	18	113.980	0.000	0.8592	0.7344	1
12	24	-400.872	0.000	0.7574	0.5986	1
12	25	-145.936	0.000	0.8282	0.6616	1
12	26	-31.955	0.000	0.7295	0.5176	1
12	27	98.003	0.000	0.7956	0.5703	1
12	30	209.950	0.000	0.7245	0.4638	1
12	32	-270.915	0.000	0.7261	0.5362	1
12	38	186.934	0.000	0.7522	0.5380	1
