CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1237	1276	-6.011	0.000	0.7418	0.5003	1
1237	1294	-16.031	0.000	0.8560	0.5791	1
1237	1300	-18.010	0.000	0.8740	0.6592	1
1237	1302	-178.048	0.000	0.7831	0.6343	1
1237	1310	-14.016	0.000	0.8512	0.7262	1
1237	1318	-26.088	0.000	0.7040	0.6394	1
1237	1324	0.000	0.000	0.9601	0.7869	1
1237	1328	-162.053	0.000	0.7585	0.6165	1
1237	1358	-137.995	0.000	0.7746	0.6008	1
1237	1421	29.938	0.000	0.7924	0.6168	1
1237	1423	0.000	0.000	0.9548	0.7407	1
1237	1466	25.979	0.000	0.7691	0.5799	1
1237	1517	-72.057	0.000	0.7527	0.4974	1
1237	1523	-137.995	0.000	0.7619	0.5671	1
1237	1530	0.000	0.000	0.9490	0.7531	1
1237	1539	-162.053	0.000	0.7402	0.5285	1
1237	1548	-14.016	0.000	0.8322	0.6510	1
1237	1599	-137.995	0.000	0.7516	0.5746	1
1237	1693	-14.016	0.000	0.8426	0.6962	1
1237	1709	0.000	0.000	0.9458	0.7344	1
1237	1726	-137.995	0.000	0.7033	0.4247	1
1237	1765	-14.016	0.000	0.8299	0.6386	1
1237	1873	-34.078	0.000	0.7862	0.5920	1
1237	1897	0.000	0.000	0.9401	0.7499	1
1237	1915	-32.062	0.000	0.7715	0.6788	1
1237	1920	29.938	0.000	0.7791	0.6163	1
1237	2002	25.943	0.000	0.7396	0.6027	1
1237	2007	0.000	0.000	0.8262	0.5622	1
1237	2013	29.938	0.000	0.7974	0.6606	1
1237	2037	15.995	0.000	0.7155	0.4818	1
1237	2078	0.000	0.000	0.9347	0.7213	1
1237	2108	-50.073	0.000	0.7895	0.7210	1
1237	2128	-14.016	0.000	0.8395	0.6752	1
1237	2168	0.000	0.000	0.9091	0.6778	1
1237	2189	-50.073	0.000	0.7607	0.6663	1
1237	2202	-14.016	0.000	0.8300	0.6386	1
1237	2260	0.000	0.000	0.9205	0.6965	1
1237	2335	0.000	0.000	0.8704	0.7657	1
1237	2347	29.938	0.000	0.7509	0.4973	1
1237	2381	-140.011	0.000	0.7060	0.5582	1
1237	2412	-34.042	0.000	0.7396	0.4834	1
1237	2417	-14.016	0.000	0.8415	0.6952	1
1237	2556	-46.042	0.000	0.8146	0.5667	1
1237	2658	-18.083	0.000	0.8282	0.6187	1
1237	2659	-8.041	0.000	0.7109	0.5584	1
1237	2703	-60.094	0.000	0.7029	0.4563	1
1237	2720	-62.073	0.000	0.7528	0.5034	1
1237	2760	-46.042	0.000	0.8363	0.6311	1
1237	2761	-47.045	0.000	0.7888	0.4964	1
1237	3046	-46.042	0.000	0.8321	0.6453	1
1237	3151	-46.041	0.000	0.8335	0.6051	1
1237	3185	-46.042	0.000	0.8320	0.6138	1
1237	3296	-46.042	0.000	0.8370	0.6118	1
1238	1328	0.000	0.000	0.7766	0.5309	1
1238	1341	15.995	0.000	0.8630	0.6103	1
1238	1363	-140.012	0.000	0.7130	0.4431	1
1238	1455	-34.078	0.000	0.7064	0.5516	1
1238	1502	-140.011	0.000	0.7209	0.4786	1
1238	1535	-14.016	0.000	0.7489	0.5309	1
1238	1539	0.000	0.000	0.7686	0.5273	1
1238	1543	15.995	0.000	0.8446	0.5976	1
1238	1589	-140.011	0.000	0.7091	0.3995	1
1238	1625	10.021	0.000	0.7087	0.4511	1
1238	1682	15.995	0.000	0.8610	0.5976	1
1238	1717	-124.016	0.000	0.7348	0.4795	1
1238	1721	-14.016	0.000	0.7625	0.6064	1
1238	1736	15.995	0.000	0.7618	0.4380	1
1238	1788	15.995	0.000	0.8405	0.5976	1
1238	1836	10.021	0.000	0.7149	0.4523	1
1238	1928	-192.042	0.000	0.7039	0.4569	1
1238	2015	15.995	0.000	0.7671	0.4885	1
1238	2021	-14.016	0.000	0.7173	0.4417	1
1238	2079	0.000	0.000	0.8408	0.6229	1
1238	2081	-155.059	0.000	0.7594	0.5181	1
1238	2130	15.995	0.000	0.8453	0.6437	1
1238	2239	15.995	0.000	0.8454	0.5976	1
1238	2366	15.995	0.000	0.8448	0.5501	1
1238	2394	15.995	0.000	0.8416	0.5976	1
1240	1318	-40.031	0.000	0.7787	0.6258	1
1240	1920	15.995	0.000	0.7284	0.5608	1
1240	2013	15.995	0.000	0.7282	0.5620	1
1240	2259	2.052	0.000	0.7058	0.5001	1
1240	2348	13.979	0.000	0.7136	0.5654	1
1241	1256	81.029	0.000	0.7069	0.1853	1
1241	1330	106.134	0.000	0.8915	0.3604	1
1241	1401	122.128	0.000	0.9287	0.4695	1
1241	1483	122.128	0.000	0.9366	0.4584	1
1241	1538	85.060	0.000	0.8786	0.3898	1
1241	1553	82.042	0.000	0.7138	0.2360	1
1241	1729	122.129	0.000	0.9143	0.4017	1
1241	1755	106.134	0.000	0.8751	0.2903	1
1241	1766	92.119	0.000	0.8437	0.3107	1
1241	1819	122.129	0.000	0.9102	0.3568	1
1241	1998	0.000	0.000	0.9612	0.6338	1
1241	2053	87.076	0.000	0.9516	0.5053	1
1241	2061	122.128	0.000	0.9166	0.3897	1
1241	2068	54.011	0.000	0.8606	0.5155	1
1241	2069	217.082	0.000	0.9025	0.4524	1
1241	2120	76.998	0.000	0.7095	0.3445	1
1241	2266	77.091	0.000	0.9124	0.4691	1
1241	2338	54.011	0.000	0.9284	0.6352	1
1241	2781	-68.078	0.000	0.8948	0.6545	1
1241	2975	90.943	0.000	0.8516	0.6108	1
1241	3203	91.975	0.000	0.9343	0.7032	1
1242	1252	-146.058	0.000	0.9145	0.6406	1
1242	1330	308.111	0.000	0.8206	0.4787	1
1242	1340	-132.042	0.000	0.8376	0.5522	1
1242	1352	132.079	0.000	0.8415	0.4862	1
1242	1353	0.036	0.000	0.8467	0.5359	1
1242	1360	14.016	0.000	0.8685	0.5975	1
1242	1363	146.057	0.000	0.8448	0.5561	1
1242	1424	15.995	0.000	0.9728	0.8015	1
1242	1497	308.111	0.000	0.8069	0.4358	1
1242	1502	146.058	0.000	0.9443	0.8332	1
1242	1522	-0.000	0.000	0.8763	0.6464	1
1242	1567	-58.006	0.000	0.9264	0.6145	1
1242	1583	16.031	0.000	0.8442	0.5054	1
1242	1584	132.078	0.000	0.8387	0.4704	1
1242	1587	308.111	0.000	0.7944	0.4060	1
1242	1589	146.058	0.000	0.9257	0.6889	1
1242	1685	308.111	0.000	0.8161	0.4887	1
1242	1686	176.068	0.000	0.8238	0.4769	1
1242	1702	2.016	0.000	0.8458	0.6296	1
1242	1705	60.057	0.000	0.8637	0.6764	1
1242	1718	15.995	0.000	0.9247	0.7591	1
1242	1755	308.111	0.000	0.8001	0.4178	1
1242	1756	176.069	0.000	0.8261	0.5025	1
1242	1760	-144.006	0.000	0.8569	0.5598	1
1242	1767	-14.013	0.000	0.8523	0.6040	1
1242	1805	-202.047	0.000	0.8556	0.6052	1
1242	1820	162.053	0.000	0.8157	0.5391	1
1242	1846	308.111	0.000	0.8063	0.4358	1
1242	2381	308.111	0.000	0.8019	0.4411	1
1244	1566	-0.984	0.000	0.8587	0.5883	1
1245	1272	-42.011	0.000	0.7019	0.5208	1
1245	1329	-0.000	0.000	0.8942	0.7955	1
1245	1407	-33.984	0.000	0.8246	0.5108	1
1245	1452	-12.001	0.000	0.7661	0.3826	1
1245	1457	-33.985	0.000	0.8410	0.6018	1
1245	1531	98.058	0.000	0.7422	0.5679	1
1245	1554	-12.000	0.000	0.7397	0.4556	1
1245	2121	-28.032	0.000	0.8710	0.6305	1
1245	2135	-40.032	0.000	0.7009	0.4532	1
1245	2222	105.115	0.000	0.7757	0.6914	1
1245	2279	105.115	0.000	0.7866	0.6857	1
1245	2280	88.088	0.000	0.7847	0.6066	1
1245	2284	-56.938	0.000	0.8613	0.6710	1
1245	2285	-73.966	0.000	0.7638	0.5317	1
1245	2607	-56.063	0.000	0.8602	0.6814	1
1246	1249	197.090	0.000	0.7079	0.6595	1
1246	1253	1.979	0.000	0.7384	0.5079	1
1246	1323	70.042	0.000	0.7101	0.4507	1
1246	1528	42.010	0.000	0.7308	0.5657	1
1247	2062	119.055	0.000	0.7081	0.2510	1
1248	1580	-14.016	0.000	0.8815	0.7367	1
1248	1657	7.969	0.000	0.9126	0.6919	1
1248	2500	-290.173	0.000	0.7314	0.4996	1
1249	1261	19.990	0.000	0.7881	0.6876	1
1249	1294	32.063	0.000	0.7295	0.7408	1
1249	1316	19.990	0.000	0.7490	0.6693	1
1249	1345	-16.031	0.000	0.7260	0.6270	1
1249	1477	-16.031	0.000	0.7319	0.6867	1
1249	1541	-14.016	0.000	0.7107	0.7052	1
1249	1620	-8.041	0.000	0.7795	0.6973	1
1249	1636	7.990	0.000	0.7297	0.7162	1
1249	1731	19.990	0.000	0.7839	0.6740	1
1249	1772	-8.041	0.000	0.7417	0.6256	1
1249	1902	-8.041	0.000	0.8014	0.7439	1
1249	1919	19.990	0.000	0.7616	0.6284	1
1249	2020	19.990	0.000	0.7389	0.6692	1
1249	2045	17.974	0.000	0.7021	0.7265	1
1249	2066	-8.041	0.000	0.7250	0.7067	1
1249	2470	19.990	0.000	0.7016	0.6853	1
1249	2585	-64.068	0.000	0.7110	0.5324	1
1249	2994	-82.078	0.000	0.7065	0.6834	1
1249	3014	-98.073	0.000	0.7550	0.6165	1
1249	3254	0.984	0.000	0.7001	0.6511	1
1250	1279	-30.011	0.000	0.9036	0.8566	1
1250	1398	0.000	0.000	0.9769	0.8978	1
1250	1416	-30.010	0.000	0.8806	0.7773	1
1250	1441	-136.037	0.000	0.7784	0.5215	1
1250	2005	-102.032	0.000	0.7000	0.7190	1
1252	1340	14.016	0.000	0.8553	0.5909	1
1252	1352	278.136	0.000	0.7888	0.3915	1
1252	1353	146.094	0.000	0.8068	0.4359	1
1252	1360	160.073	0.000	0.7830	0.5044	1
1252	1363	292.115	0.000	0.7644	0.4884	1
1252	1388	15.995	0.000	0.9681	0.8233	1
1252	1502	292.115	0.000	0.8117	0.5258	1
1252	1522	146.057	0.000	0.9028	0.6289	1
1252	1567	88.052	0.000	0.7426	0.4183	1
1252	1584	278.136	0.000	0.7762	0.3495	1
1252	1589	292.116	0.000	0.8040	0.4500	1
1252	1685	454.169	0.000	0.7228	0.3671	1
1252	1702	148.074	0.000	0.7168	0.3756	1
1252	1705	206.115	0.000	0.7549	0.4224	1
1252	1756	322.126	0.000	0.7389	0.4310	1
1252	1760	2.052	0.000	0.7944	0.4899	1
1252	1805	-55.990	0.000	0.7801	0.4656	1
1252	1820	308.111	0.000	0.8354	0.5609	1
1253	1255	17.027	0.000	0.8089	0.7574	1
1253	1274	40.031	0.000	0.7444	0.6468	1
1253	1345	179.080	0.000	0.7732	0.6706	1
1253	1346	17.027	0.000	0.8267	0.7601	1
1253	1347	-28.031	0.000	0.7845	0.6940	1
1253	1415	0.000	0.000	0.7424	0.7183	1
1253	1454	-2.016	0.000	0.7849	0.7534	1
1253	1458	17.027	0.000	0.7749	0.7021	1
1253	1477	179.080	0.000	0.7861	0.7370	1
1253	1503	0.000	0.000	0.7071	0.6783	1
1253	1658	-86.000	0.000	0.7452	0.6915	1
1253	1814	42.047	0.000	0.7165	0.5179	1
1253	2014	-10.021	0.000	0.7023	0.4607	1
1253	2134	15.995	0.000	0.7409	0.6026	1
1254	1289	155.094	0.000	0.7141	0.5832	1
1254	1307	-6.011	0.000	0.7789	0.7454	1
1254	1327	-14.015	0.000	0.9368	0.7566	1
1254	1330	-26.890	0.000	0.7708	0.4709	1
1254	1361	-27.995	0.000	0.7621	0.5930	1
1254	1386	-30.011	0.000	0.9118	0.6030	1
1254	1439	-14.016	0.000	0.9210	0.6888	1
1254	1497	-26.890	0.000	0.7673	0.4360	1
1254	1529	-30.011	0.000	0.8972	0.6527	1
1254	1587	-26.890	0.000	0.7590	0.3723	1
1254	1685	-26.890	0.000	0.7498	0.4399	1
1254	1755	-26.890	0.000	0.7599	0.3649	1
1254	1819	-10.895	0.000	0.7414	0.3396	1
1254	1846	-26.890	0.000	0.7452	0.4404	1
1254	1884	-77.974	0.000	0.7101	0.3236	1
1254	1922	5.101	0.000	0.7358	0.3648	1
1254	2009	-34.042	0.000	0.7670	0.6232	1
1254	2053	-45.948	0.000	0.7418	0.3943	1
1254	2061	-10.896	0.000	0.7453	0.3784	1
1254	2120	-56.026	0.000	0.7099	0.5491	1
1254	2272	-56.026	0.000	0.7710	0.5424	1
1254	2381	-26.890	0.000	0.7438	0.4545	1
1254	2914	-16.067	0.000	0.7368	0.4350	1
1254	3528	5.880	0.000	0.7042	0.4346	1
1255	1345	162.053	0.000	0.8276	0.7859	1
1255	1346	0.000	0.000	0.8736	0.8176	1
1255	1347	-45.058	0.000	0.8276	0.6879	1
1255	1415	-17.026	0.000	0.7841	0.7274	1
1255	1426	2.016	0.000	0.7021	0.5391	1
1255	1458	0.000	0.000	0.8518	0.8197	1
1255	1477	162.053	0.000	0.8246	0.7788	1
1255	1525	18.011	0.000	0.7690	0.7955	1
1255	1813	42.047	0.000	0.8371	0.6636	1
1255	1864	18.011	0.000	0.7605	0.6904	1
1255	1963	18.011	0.000	0.7697	0.5558	1
1255	1986	56.026	0.000	0.7405	0.3884	1
1255	2014	-27.047	0.000	0.7766	0.5035	1
1255	2041	15.995	0.000	0.8031	0.6592	1
1255	2075	0.984	0.000	0.7410	0.4545	1
1255	2133	-67.990	0.000	0.7447	0.6467	1
1255	2146	15.995	0.000	0.7860	0.7152	1
1255	2162	40.031	0.000	0.7344	0.7014	1
1255	2760	180.136	0.000	0.7027	0.4856	1
1255	3046	180.136	0.000	0.7058	0.4764	1
1255	3151	180.137	0.000	0.7196	0.5414	1
1255	3185	180.137	0.000	0.7036	0.4951	1
1255	3296	180.136	0.000	0.7110	0.5228	1
1255	3458	44.011	0.000	0.7023	0.4860	1
1256	1320	-0.000	0.000	0.8163	0.7287	1
1256	1321	-1.004	0.000	0.7705	0.5646	1
1256	1330	25.105	0.000	0.7146	0.3228	1
1256	1377	31.043	0.000	0.7374	0.6126	1
1256	1389	45.057	0.000	0.7085	0.3867	1
1256	1401	41.100	0.000	0.7066	0.2655	1
1256	1406	13.979	0.000	0.7176	0.5210	1
1256	1483	41.099	0.000	0.7088	0.2717	1
1256	1489	-83.044	0.000	0.7134	0.1894	1
1256	1490	-53.974	0.000	0.7146	0.4649	1
1256	1497	25.105	0.000	0.7153	0.3376	1
1256	1544	27.995	0.000	0.7020	0.5296	1
1256	1587	25.105	0.000	0.7174	0.4474	1
1256	1591	-17.025	0.000	0.7031	0.5147	1
1256	1594	-16.020	0.000	0.7008	0.5113	1
1256	1595	-53.973	0.000	0.7215	0.4745	1
1256	1605	138.069	0.000	0.7134	0.2193	1
1256	1615	-14.015	0.000	0.7366	0.6238	1
1256	1685	25.105	0.000	0.7078	0.2882	1
1256	1688	-71.984	0.000	0.7586	0.4116	1
1256	1706	-14.016	0.000	0.7017	0.6062	1
1256	1716	-56.992	0.000	0.7107	0.3018	1
1256	1755	25.105	0.000	0.7194	0.4366	1
