row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_mapp_bk_blk_post01.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_post03.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_pre02.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_post02.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_pre01.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_pre03.mzML Peak area,202406251749_PMA_dbgi_blk_pre01.mzML Peak area,202406251749_PMA_dbgi_003179_01_01.mzML Peak area,202406251749_PMA_dbgi_003140_01_01.mzML Peak area,202406251749_PMA_dbgi_003180_01_01.mzML Peak area,202406251749_PMA_dbgi_003214_01_01.mzML Peak area,202406251749_PMA_dbgi_003187_01_01.mzML Peak area,202406251749_PMA_dbgi_003151_01_01.mzML Peak area,202406251749_PMA_dbgi_003164_01_01.mzML Peak area,202406251749_PMA_dbgi_003101_01_01.mzML Peak area,202406251749_PMA_dbgi_003154_01_01.mzML Peak area,202406251749_PMA_dbgi_003155_01_01.mzML Peak area,202406251749_PMA_dbgi_003223_01_01.mzML Peak area,202406251749_PMA_dbgi_003198_01_01.mzML Peak area,202406251749_PMA_dbgi_003185_01_01.mzML Peak area,202406251749_PMA_dbgi_003196_01_01.mzML Peak area,
1,244.94678242585073,0.49231347,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,12481.1875,0,0,0,12854.808,11210.503,13263.768,0,0,0,0,
2,286.9583653606803,0.49706915,,,,,,,,,,,0,0,0,0,0,0,0,0,4844.1157,0,16698.172,0,0,0,11203.147,6590.084,20177.418,8013.6646,0,0,0,
3,255.9388697320552,0.4977387,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8532.5625,0,0,0,0,12470.237,0,0,0,0,0,
4,398.9056831159502,0.50051534,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8534.661,0,0,14309.75,
5,268.94774994056473,0.5037053,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,14435.263,0,0,0,7600.2817,3901.3105,27031.912,11263.472,0,0,9790.957,
6,234.9612405484465,0.5048334,,,,,,,,,,,0,0,0,0,0,0,0,11439.837,16892.363,17297.684,0,17578.844,20879.906,25684.018,4952.725,0,0,11345.746,20735.123,17812.893,20580.268,
7,312.92013261441093,0.5086986,,,,,,,,,,,0,0,0,0,0,0,0,0,12718.118,6905.0376,0,13646.026,15673.785,14641.387,0,0,0,13665.536,10743.26,23523.953,24908.771,
8,265.0154737664524,0.51017517,,,,,,,,,,,0,0,0,0,0,0,0,0,26788.748,9815.525,41273.176,19280.928,23621.29,0,29167.086,16911.447,76646.99,39310.133,0,48526.344,54353.63,
9,218.9836716209148,0.51020664,,,,,,,,,,,0,0,0,0,0,0,0,0,19920.244,0,29182.842,13686.983,18709.695,0,19902.322,12184.939,47301.547,29457.977,11005.18,33837.594,33008.426,
10,241.9995534212474,0.5110899,,,,,,,,,,,0,0,0,0,0,0,0,0,106403.62,39514.42,148528.23,77811.7,99075.91,107293.73,105354.28,67999.664,265420.88,158499.83,67244.18,194972.2,197951.8,
11,369.9245580855543,0.51157683,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7693.568,0,0,0,16885.441,0,0,0,0,11051.553,0,0,
12,442.87816846404684,0.5126279,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7287.8423,0,0,0,15547.831,0,0,0,0,10769.534,11025.768,13064.091,
13,257.9770710439774,0.5127813,,,,,,,,,,,0,0,0,0,0,0,0,21046.55,26472.168,29938.945,0,29458.95,34809.918,67279.55,7564.2407,0,8009.827,17971.418,44673.06,34619.176,40339.06,
14,200.97306095211476,0.5134731,,,,,,,,,,,0,0,0,0,0,0,0,0,15927.822,0,19497.273,12476.707,16353.021,25423.79,14000.961,8265.639,44321.375,25710.91,13300.324,35847.984,37203.258,
15,182.96249376051884,0.51370865,,,,,,,,,,,0,0,0,0,0,0,0,0,7055.5703,0,9370.889,5381.9604,7012.2354,13666.504,6030.865,0,22152.74,11424.328,0,18641.078,19591.578,
16,458.8558545516029,0.5139464,,,,,,,,,,,0,0,0,0,0,0,0,19786.479,0,22777.232,0,12542.366,13664.632,59785.758,0,0,0,0,35027.195,0,10034.377,
17,243.00079515294686,0.5141327,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,21668.5,27303.46,29425.86,0,0,0,0,17170.393,0,0,
18,328.897889544427,0.51454103,,,,,,,,,,,0,0,0,0,0,0,0,28419.121,18397.426,40045.684,0,32976.094,37798.953,90590.58,0,0,0,9479.832,60335.223,31176.521,36555.4,
